model_name,model_type,training_data,imagenet_accuracy,perspective_accuracy,depth_accuracy,perspective_accuracy_human,depth_accuracy_human,view_exp_accuracy
repvgg_b0.rvgg_in1k,CNN,ImageNet 1k,75.144,50.90956341,68.26697892,48.93617021,58.5106383,50
repvgg_b1.rvgg_in1k,CNN,ImageNet 1k,78.368,51.01351351,63.7392662,59.57446809,58.5106383,45
repvgg_b1g4.rvgg_in1k,CNN,ImageNet 1k,77.588,52.7027027,68.03278689,53.19148936,76.59574468,37.5
repvgg_b2.rvgg_in1k,CNN,ImageNet 1k,78.792,51.22141372,69.71116315,61.70212766,65.95744681,50
repvgg_b2g4.rvgg_in1k,CNN,ImageNet 1k,79.382,52.18295218,68.54020297,56.38297872,65.95744681,55
repvgg_b3g4.rvgg_in1k,CNN,ImageNet 1k,80.216,52.52079002,67.87665886,56.38297872,62.76595745,42.5
res2net50_14w_8s.in1k,CNN,ImageNet 1k,78.158,50.72765073,64.20765027,48.93617021,55.31914894,47.5
res2net50_26w_4s.in1k,CNN,ImageNet 1k,77.95,51.01351351,60.38251366,53.19148936,55.31914894,47.5
res2net50_26w_6s.in1k,CNN,ImageNet 1k,78.568,49.97401247,65.37861046,50,60.63829787,55
res2net50_26w_8s.in1k,CNN,ImageNet 1k,78.942,50.5977131,61.31928181,56.38297872,57.44680851,50
res2net50_48w_2s.in1k,CNN,ImageNet 1k,77.514,50.57172557,63.46604215,58.5106383,52.12765957,50
resnest50d_1s4x24d.in1k,CNN,ImageNet 1k,80.988,49.81808732,71.58469945,58.5106383,63.82978723,45
resnest50d_4s2x40d.in1k,CNN,ImageNet 1k,81.12,49.87006237,71.77985948,54.25531915,62.76595745,50
resnest50d.in1k,CNN,ImageNet 1k,80.96,49.92203742,73.41920375,54.25531915,70.21276596,52.5
resnet10t.c3_in1k,CNN,ImageNet 1k,68.364,50.98752599,59.67993755,47.87234043,61.70212766,50
resnet14t.c3_in1k,CNN,ImageNet 1k,72.254,52.18295218,66.2373146,56.38297872,62.76595745,45
resnet18.fb_ssl_yfcc100m_ft_in1k,CNN,YFCC100M,72.598,51.11746362,64.01249024,54.25531915,68.08510638,55
resnet18.fb_swsl_ig1b_ft_in1k,CNN,Instagram-1B hashtags,73.288,51.48128898,68.1498829,50,64.89361702,47.5
resnet18.tv_in1k,CNN,ImageNet 1k,69.76,49.35031185,64.24668228,50,58.5106383,52.5
resnet50.a1h_in1k,CNN,ImageNet 1k,80.678,52.39085239,64.05152225,44.68085106,59.57446809,47.5
resnet50.am_in1k,CNN,ImageNet 1k,79.002,49.87006237,63.81733021,40.42553191,62.76595745,55
resnet50.tv_in1k,CNN,ImageNet 1k,76.128,51.16943867,64.44184231,55.31914894,60.63829787,42.5
resnet50d.a3_in1k,CNN,ImageNet 1k,78.72,49.55821206,65.96409055,51.06382979,68.08510638,52.5
resnetrs50.tf_in1k,CNN,ImageNet 1k,79.894,50.49376299,69.71116315,60.63829787,61.70212766,50
resnet18.gluon_in1k,CNN,ImageNet 1k,70.834,51.22141372,59.13348946,48.93617021,63.82978723,50
resnet34.gluon_in1k,CNN,ImageNet 1k,74.58,49.37629938,62.68540203,51.06382979,58.5106383,55
rexnet_100.nav_in1k,CNN,ImageNet 1k,77.856,50.33783784,65.80796253,47.87234043,63.82978723,52.5
rexnet_130.nav_in1k,CNN,ImageNet 1k,79.506,51.22141372,67.64246682,59.57446809,71.27659574,52.5
rexnet_150.nav_in1k,CNN,ImageNet 1k,80.324,49.50623701,67.13505074,51.06382979,62.76595745,50
rexnet_200.nav_in1k,CNN,ImageNet 1k,81.636,51.81912682,71.58469945,50,63.82978723,55
rexnet_300.nav_in1k,CNN,ImageNet 1k,82.774,51.14345114,72.83372365,55.31914894,61.70212766,55
skresnet18.ra_in1k,CNN,ImageNet 1k,73.034,49.61018711,63.1147541,53.19148936,61.70212766,52.5
skresnet34.ra_in1k,CNN,ImageNet 1k,76.91,49.4022869,65.14441842,47.87234043,61.70212766,62.5
swin_base_patch4_window7_224.ms_in1k,Transformer,ImageNet 1k,83.606,50.5977131,68.38407494,55.31914894,51.06382979,47.5
swin_base_patch4_window7_224.ms_in22k_ft_in1k,Transformer,ImageNet 21k,85.272,50.02598753,75.25370804,44.68085106,63.82978723,50
swin_s3_base_224.ms_in1k,Transformer,ImageNet 1k,83.92,52.65072765,69.82825917,58.5106383,65.95744681,47.5
swin_s3_small_224.ms_in1k,Transformer,ImageNet 1k,83.756,51.45530146,63.54410617,54.25531915,57.44680851,55
swin_s3_tiny_224.ms_in1k,Transformer,ImageNet 1k,82.144,49.8960499,65.80796253,46.80851064,53.19148936,50
swin_small_patch4_window7_224.ms_in1k,Transformer,ImageNet 1k,83.208,50.72765073,67.68149883,51.06382979,59.57446809,47.5
swin_small_patch4_window7_224.ms_in22k_ft_in1k,Transformer,ImageNet 21k,83.298,50.7016632,68.22794692,47.87234043,65.95744681,50
swin_tiny_patch4_window7_224.ms_in1k,Transformer,ImageNet 1k,81.376,50.67567568,66.19828259,58.5106383,58.5106383,45
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,Transformer,ImageNet 21k,80.968,51.32536383,67.25214676,57.44680851,58.5106383,42.5
tresnet_l.miil_in1k,CNN,ImageNet 1k,81.48,50.83160083,63.70023419,51.06382979,56.38297872,52.5
tresnet_m.miil_in1k,CNN,ImageNet 1k,80.798,51.16943867,67.17408275,50,68.08510638,50
tresnet_m.miil_in21k_ft_in1k,CNN,ImageNet 21k,83.07,50.83160083,66.8618267,56.38297872,61.70212766,50
tresnet_v2_l.miil_in21k_ft_in1k,CNN,ImageNet 21k,83.894,51.32536383,69.3989071,50,64.89361702,55
tresnet_xl.miil_in1k,CNN,ImageNet 1k,82.074,52.36486486,68.38407494,51.06382979,61.70212766,52.5
twins_pcpvt_base.in1k,Transformer,ImageNet 1k,82.714,50.05197505,63.62217018,56.38297872,56.38297872,37.5
twins_pcpvt_large.in1k,Transformer,ImageNet 1k,83.13,50.05197505,67.05698673,52.12765957,56.38297872,50
twins_pcpvt_small.in1k,Transformer,ImageNet 1k,81.092,50.41580042,66.43247463,56.38297872,55.31914894,55
twins_svt_base.in1k,Transformer,ImageNet 1k,83.12,50.57172557,64.44184231,55.31914894,56.38297872,50
twins_svt_small.in1k,Transformer,ImageNet 1k,81.676,51.06548857,67.05698673,59.57446809,57.44680851,47.5
vgg11_bn.tv_in1k,CNN,ImageNet 1k,70.382,49.74012474,60.73380172,50,64.89361702,50
vgg11.tv_in1k,CNN,ImageNet 1k,69.022,51.37733888,59.56284153,46.80851064,55.31914894,55
vgg13_bn.tv_in1k,CNN,ImageNet 1k,71.588,50.44178794,60.69476971,55.31914894,69.14893617,52.5
vgg13.tv_in1k,CNN,ImageNet 1k,69.932,50.51975052,63.34894614,56.38297872,61.70212766,50
vgg16_bn.tv_in1k,CNN,ImageNet 1k,73.37,49.50623701,60.92896175,54.25531915,61.70212766,42.5
vgg16.tv_in1k,CNN,ImageNet 1k,71.592,52.62474012,61.00702576,57.44680851,55.31914894,57.5
vgg19_bn.tv_in1k,CNN,ImageNet 1k,74.216,50.51975052,63.42701015,52.12765957,57.44680851,50
vgg19.tv_in1k,CNN,ImageNet 1k,72.378,50.90956341,61.74863388,47.87234043,67.0212766,50
visformer_small.in1k,Hybrid,ImageNet 1k,82.106,48.67463617,66.47150664,50,60.63829787,55
visformer_tiny.in1k,Hybrid,ImageNet 1k,78.16,50.72765073,66.78376269,55.31914894,50,57.5
vit_base_patch16_224_miil.in21k_ft_in1k,Transformer,ImageNet 21k,84.266,50.25987526,70.0234192,56.38297872,68.08510638,45
vit_base_patch16_224.augreg_in1k,Transformer,ImageNet 1k,79.154,51.2993763,70.96018735,58.5106383,55.31914894,60
vit_base_patch16_224.augreg2_in21k_ft_in1k,Transformer,ImageNet 21k,85.094,52.54677755,74.16081187,52.12765957,69.14893617,47.5
vit_base_patch16_224.orig_in21k_ft_in1k,Transformer,ImageNet 21k,81.79,50.20790021,73.26307572,53.19148936,64.89361702,55
vit_base_patch16_224.sam_in1k,Transformer,ImageNet 1k,80.238,52.13097713,66.47150664,52.12765957,64.89361702,47.5
vit_base_patch16_rpn_224.sw_in1k,Transformer,ImageNet 1k,82.202,51.01351351,69.59406714,60.63829787,60.63829787,52.5
vit_base_patch8_224.augreg_in21k_ft_in1k,Transformer,ImageNet 21k,85.798,52.1049896,76.61982826,50,63.82978723,37.5
vit_base_patch8_224.augreg2_in21k_ft_in1k,Transformer,ImageNet 21k,86.218,53.35239085,71.66276347,50,69.14893617,40
vit_srelpos_medium_patch16_224.sw_in1k,Transformer,ImageNet 1k,82.24,50.67567568,70.45277127,58.5106383,65.95744681,52.5
vit_srelpos_small_patch16_224.sw_in1k,Transformer,ImageNet 1k,81.092,50.49376299,65.49570648,57.44680851,58.5106383,42.5
vit_tiny_r_s16_p8_224.augreg_in21k_ft_in1k,Transformer,ImageNet 21k,71.798,50.28586279,66.8618267,53.19148936,60.63829787,52.5
vit_large_patch16_384.augreg_in21k_ft_in1k,Transformer,ImageNet 21k,87.084,53.24844075,79.23497268,48.93617021,74.46808511,50
vit_large_r50_s32_384.augreg_in21k_ft_in1k,Transformer,ImageNet 21k,86.182,52.39085239,78.02498048,63.82978723,69.14893617,62.5
vit_medium_patch16_gap_384.sw_in12k_ft_in1k,Transformer,ImageNet 12k,85.53,50.64968815,68.735363,56.38297872,68.08510638,47.5
vit_relpos_base_patch16_224.sw_in1k,Transformer,ImageNet 1k,82.496,51.09147609,71.58469945,51.06382979,62.76595745,50
vit_relpos_base_patch16_clsgap_224.sw_in1k,Transformer,ImageNet 1k,82.76,49.87006237,71.66276347,50,63.82978723,55
vit_relpos_medium_patch16_224.sw_in1k,Transformer,ImageNet 1k,82.462,51.24740125,66.2373146,56.38297872,59.57446809,50
vit_relpos_medium_patch16_cls_224.sw_in1k,Transformer,ImageNet 1k,82.572,51.09147609,67.09601874,60.63829787,59.57446809,42.5
vit_relpos_medium_patch16_rpn_224.sw_in1k,Transformer,ImageNet 1k,82.31,50.54573805,69.16471507,61.70212766,62.76595745,42.5
vit_relpos_small_patch16_224.sw_in1k,Transformer,ImageNet 1k,81.462,52.20893971,69.43793911,47.87234043,56.38297872,50
volo_d1_384.sail_in1k,Transformer,ImageNet 1k,85.244,53.1964657,65.96409055,46.80851064,58.5106383,52.5
volo_d2_384.sail_in1k,Transformer,ImageNet 1k,86.042,51.37733888,68.34504294,56.38297872,60.63829787,50
volo_d3_224.sail_in1k,Transformer,ImageNet 1k,85.414,53.09251559,63.54410617,65.95744681,53.19148936,50
volo_d4_224.sail_in1k,Transformer,ImageNet 1k,85.872,51.37733888,66.2373146,58.5106383,62.76595745,52.5
volo_d5_224.sail_in1k,Transformer,ImageNet 1k,86.07,53.22245322,68.46213895,57.44680851,61.70212766,57.5
volo_d1_224.sail_in1k,Transformer,ImageNet 1k,84.162,51.53326403,67.13505074,44.68085106,65.95744681,47.5
volo_d2_224.sail_in1k,Transformer,ImageNet 1k,85.202,52.54677755,66.12021858,53.19148936,60.63829787,50
xcit_medium_24_p8_224.fb_in1k,Transformer,ImageNet 1k,83.746,51.4033264,68.93052303,44.68085106,59.57446809,45
xcit_nano_12_p8_224.fb_in1k,Transformer,ImageNet 1k,73.91,49.68814969,59.52380952,47.87234043,48.93617021,50
xcit_small_12_p8_224.fb_in1k,Transformer,ImageNet 1k,83.334,53.24844075,67.68149883,54.25531915,68.08510638,50
xcit_small_24_p8_224.fb_in1k,Transformer,ImageNet 1k,83.834,51.35135135,65.41764247,56.38297872,58.5106383,50
xcit_tiny_12_p8_224.fb_in1k,Transformer,ImageNet 1k,79.688,50.98752599,66.12021858,52.12765957,68.08510638,50
xcit_tiny_24_p8_224.fb_in1k,Transformer,ImageNet 1k,81.892,50,62.17798595,56.38297872,54.25531915,50
convnext_base.fb_in22k_ft_in1k,CNN,ImageNet 21k,86.274,51.06548857,70.88212334,55.31914894,64.89361702,57.5
convnext_base.fb_in22k_ft_in1k_384,CNN,ImageNet 21k,86.796,52.05301455,69.94535519,56.38297872,70.21276596,52.5
convnext_large.fb_in22k_ft_in1k,CNN,ImageNet 21k,87.026,52.83264033,72.40437158,54.25531915,65.95744681,47.5
convnext_large.fb_in22k_ft_in1k_384,CNN,ImageNet 21k,87.472,51.87110187,69.86729118,58.5106383,62.76595745,50
convnext_small.in12k_ft_in1k_384,CNN,ImageNet 21k,86.182,51.24740125,66.93989071,55.31914894,59.57446809,55
convnextv2_base.fcmae_ft_in22k_in1k,CNN,ImageNet 21k,86.998,51.22141372,74.55113193,51.06382979,64.89361702,50
convnextv2_base.fcmae_ft_in22k_in1k_384,CNN,ImageNet 21k,87.644,50.20790021,76.11241218,53.19148936,65.95744681,50
convnextv2_large.fcmae_ft_in1k,CNN,ImageNet 1k,86.118,51.66320166,69.9843872,53.19148936,56.38297872,52.5
convnextv2_large.fcmae_ft_in22k_in1k,CNN,ImageNet 21k,87.484,51.09147609,74.51209992,52.12765957,65.95744681,52.5
convnextv2_large.fcmae_ft_in22k_in1k_384,CNN,ImageNet 21k,88.198,50.46777547,76.8930523,58.5106383,64.89361702,60
crossvit_9_240.in1k,Transformer,ImageNet 1k,73.96,50.15592516,64.83216237,48.93617021,53.19148936,50
crossvit_tiny_240.in1k,Transformer,ImageNet 1k,73.34,51.06548857,60.85089774,51.06382979,53.19148936,50
tf_mobilenetv3_large_075.in1k,CNN,ImageNet 1k,73.43,49.66216216,65.72989852,50,68.08510638,55
tf_mobilenetv3_large_minimal_100.in1k,CNN,ImageNet 1k,72.264,52.18295218,66.00312256,47.87234043,64.89361702,50
tf_mobilenetv3_small_075.in1k,CNN,ImageNet 1k,65.726,51.68918919,62.72443404,61.70212766,70.21276596,50
tf_mobilenetv3_small_100.in1k,CNN,ImageNet 1k,67.922,51.16943867,63.42701015,52.12765957,68.08510638,40
mobilevit_xs.cvnets_in1k,Transformer,ImageNet 1k,74.634,49.19438669,61.00702576,48.93617021,58.5106383,40
mobilevit_xxs.cvnets_in1k,Transformer,ImageNet 1k,68.918,50.41580042,65.49570648,58.5106383,58.5106383,50
mobilevitv2_050.cvnets_in1k,Transformer,ImageNet 1k,70.148,49.53222453,61.82669789,44.68085106,63.82978723,50
legacy_seresnet18.in1k,CNN,ImageNet 1k,71.76,51.81912682,62.68540203,52.12765957,63.82978723,50
legacy_seresnet34.in1k,CNN,ImageNet 1k,74.802,48.77858628,65.57377049,41.4893617,60.63829787,52.5
seresnextaa101d_32x8d.sw_in12k_ft_in1k,CNN,ImageNet 12k,86.484,53.27442827,71.42857143,58.5106383,58.5106383,50
seresnextaa101d_32x8d.sw_in12k_ft_in1k_288,CNN,ImageNet 12k,86.724,50.83160083,70.10148322,50,58.5106383,57.5
semnasnet_075.rmsp_in1k,CNN,ImageNet 1k,73.004,49.48024948,63.38797814,51.06382979,63.82978723,52.5
mnasnet_100.rmsp_in1k,CNN,ImageNet 1k,74.652,50.75363825,64.48087432,57.44680851,69.14893617,50
mnasnet_small.lamb_in1k,CNN,ImageNet 1k,66.196,49.87006237,59.79703357,48.93617021,64.89361702,52.5
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,Transformer,ImageNet 21k,86.268,51.32536383,72.95081967,52.12765957,64.89361702,47.5
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,Transformer,ImageNet 21k,87.096,51.22141372,74.04371585,51.06382979,70.21276596,47.5
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,Transformer,ImageNet 21k,86.952,50.75363825,77.82982045,52.12765957,67.0212766,52.5
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,Transformer,ImageNet 21k,87.464,52.52079002,80.32786885,51.06382979,70.21276596,50
swinv2_cr_small_224.sw_in1k,Transformer,ImageNet 1k,83.136,49.94802495,63.50507416,51.06382979,62.76595745,50
swinv2_cr_small_ns_224.sw_in1k,Transformer,ImageNet 1k,83.498,49.94802495,64.83216237,57.44680851,47.87234043,50
swinv2_cr_tiny_ns_224.sw_in1k,Transformer,ImageNet 1k,81.802,49.06444906,67.4863388,56.38297872,50,47.5
eva_large_patch14_196.in22k_ft_in1k,Transformer,ImageNet 21k,87.932,53.32640333,72.36533958,52.12765957,62.76595745,45
eva_large_patch14_196.in22k_ft_in22k_in1k,Transformer,ImageNet 21k,88.574,52.49480249,72.28727557,51.06382979,70.21276596,45
eva_large_patch14_336.in22k_ft_in1k,Transformer,ImageNet 21k,88.67,52.02702703,73.02888368,59.57446809,67.0212766,52.5
eva_large_patch14_336.in22k_ft_in22k_in1k,Transformer,ImageNet 21k,89.206,52.85862786,74.86338798,59.57446809,71.27659574,45
eva02_base_patch14_448.mim_in22k_ft_in1k,Transformer,ImageNet 21k,88.252,49.50623701,65.33957845,53.19148936,60.63829787,57.5
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,Transformer,ImageNet 21k,88.69,51.1954262,69.08665105,46.80851064,73.40425532,52.5
eva02_large_patch14_448.mim_in22k_ft_in1k,Transformer,ImageNet 21k,89.622,52.07900208,66.51053864,51.06382979,69.14893617,50
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,Transformer,ImageNet 21k,89.97,52.80665281,70.45277127,58.5106383,65.95744681,52.5
eva02_large_patch14_448.mim_m38m_ft_in1k,Transformer,Merged-38M,89.574,53.22245322,70.88212334,53.19148936,67.0212766,47.5
tinynet_b.in1k,CNN,ImageNet 1k,74.978,49.11642412,67.09601874,52.12765957,59.57446809,55
tinynet_c.in1k,CNN,ImageNet 1k,71.242,50.85758836,65.41764247,46.80851064,58.5106383,52.5
edgenext_xx_small.in1k,Hybrid,ImageNet 1k,71.878,50.36382536,65.0273224,51.06382979,56.38297872,47.5
ghostnet_100.in1k,CNN,ImageNet 1k,73.958,51.45530146,66.54957065,56.38297872,65.95744681,52.5
spnasnet_100.rmsp_in1k,CNN,ImageNet 1k,74.094,49.87006237,66.43247463,55.31914894,69.14893617,45
vit_large_patch14_clip_224.openai_ft_in12k_in1k,Transformer,ImageNet 12k,88.174,51.14345114,68.69633099,47.87234043,68.08510638,50
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k,Transformer,ImageNet 12k,87.894,49.58419958,67.40827479,48.93617021,64.89361702,50
vit_large_patch14_clip_224.openai_ft_in1k,Transformer,ImageNet 1k,87.854,52.28690229,64.94925839,50,57.44680851,50
vit_large_patch14_clip_224.laion2b_ft_in1k,Transformer,ImageNet 1k,87.286,51.01351351,66.62763466,53.19148936,67.0212766,50
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,Transformer,ImageNet 12k,86.17,50.88357588,67.01795472,53.19148936,60.63829787,45
vit_base_patch16_clip_224.openai_ft_in12k_in1k,Transformer,ImageNet 12k,85.942,50.90956341,65.41764247,50,56.38297872,45
vit_base_patch16_clip_224.laion2b_ft_in1k,Transformer,ImageNet 1k,85.47,49.27234927,68.57923497,61.70212766,61.70212766,52.5
vit_base_patch16_clip_224.openai_ft_in1k,Transformer,ImageNet 1k,85.292,51.32536383,67.91569087,54.25531915,67.0212766,37.5
vit_base_patch32_clip_224.laion2b_ft_in12k_in1k,Transformer,ImageNet 12k,83.296,51.74116424,69.55503513,55.31914894,67.0212766,62.5
vit_base_patch32_clip_224.laion2b_ft_in1k,Transformer,ImageNet 1k,82.582,51.53326403,66.19828259,46.80851064,55.31914894,35
vit_base_patch32_clip_224.openai_ft_in1k,Transformer,ImageNet 1k,81.93,50.90956341,67.5253708,57.44680851,63.82978723,45
GPT-4-Vision,LLM,Internet,-1,-1,-1,51.818,59.45,
Claude-3-Opus,LLM,Internet,-1,-1,-1,50,60.81,
Gemini-Pro-Vision,LLM,Internet,-1,-1,-1,51.818,54.05,
depth_anything_vit_large,Transformer,Internet,-1,51.50727651,65.45667447,53.63636364,68.91891892,
midas,Transformer,Internet,-1,50.38981289,62.45120999,50,66.21621622,
dinov2_vit_large,Transformer,Internet,-1,54.05405405,64.4028103,59.09090909,66.21621622,
sam,Transformer,Internet,-1,51.61122661,65.53473849,49.09090909,66.21621622,
mae_vit_base,Transformer,ImageNet 1k,83.6,50.62370062,71.15534738,53.63636364,66.21621622,
ibot_vit_base,Transformer,ImageNet 21k,-1,51.01351351,67.05698673,54.54545455,71.62162162,
stable diffusion 2.0,Diffusion,LAION-5B,-1,50.18,56.04,50.54,61.29,
OLD_CVM_with_TPU_to_GPU_weight_issue,Transformer,CO3D,-1,53.32493,67.23821432,,,